rank,admin1,admin2,wp_low_mean,SAH_State_Type,SAH_State_Date,acronym,governor,political-party,population,SAH,SAH-notes,county-state,SAH-start-date,SAH-end-date,source-URL,NE-bus-sus,start-date,source-URL_1,Pub-school-closed,start-date_1,source-URL_2
164,Texas,Montgomery County,-37.18,Stay at home,4/2/2020,,Greg Abbott,Republican,589770,,,,,,,,,,,,
165,Mississippi,Hancock County,-37.12,Shelter in place,4/3/2020,,Tate Reeves,Republican,47278,,,,,,,,,,,,
166,Colorado,Elbert County,-37.1,Stay at home,3/26/2020,,Jared Polis,Democratic,26303,,,,,,,,,,,,
167,Pennsylvania,Elk County,-37.08,Stay at home,4/1/2020,,Tom Wolf,Democratic,30110,,,,,,,,,,,,
168,Maryland,Baltimore County,-37.07,Stay at home,3/30/2020,,Larry Hogan,Republican,827859,,,,,,,,,,,,
169,Arizona,Coconino County,-37,Stay at home,3/31/2020,,Doug Ducey,Republican,142523,,,,,,,,,,,,
169,Pennsylvania,Adams County,-37,Stay at home,4/1/2020,,Tom Wolf,Democratic,103062,,,,,,,,,,,,
169,Pennsylvania,Perry County,-37,Stay at home,4/1/2020,,Tom Wolf,Democratic,46154,,,,,,,,,,,,
169,Rhode Island,Washington County,-37,Stay at home,3/28/2020,,Gina Raimondo,Democratic,126097,,,,,,,,,,,,
170,Virginia,Goochland County,-36.93,Stay at home,3/30/2020,,Ralph Northam,Democratic,23219,,,,,,,,,,,,
171,South Carolina,York County,-36.9,Stay at home ,4/7/2020,,Henry McMaster,Republican,273782,,,,,,,,,,,,
172,Georgia,Rockdale County,-36.88,Shelter in place,4/3/2020,,Brian Kemp,Republican,90505,,,,,,,,,,,,
172,Texas,Tarrant County,-36.88,Stay at home,4/2/2020,,Greg Abbott,Republican,2081446,,,,,,,,,,,,
173,Mississippi,Itawamba County,-36.86,Shelter in place,4/3/2020,,Tate Reeves,Republican,23461,,,,,,,,,,,,
174,Virginia,Montgomery County,-36.85,Stay at home,3/30/2020,,Ralph Northam,Democratic,98532,,,,,,,,,,,,
175,Illinois,Cook County,-36.8,Stay at home,3/21/2020,IL,J.B. Pritzker,Democratic,5171960,,,,,,,,,,,,
176,Maryland,Carroll County,-36.71,Stay at home,3/30/2020,,Larry Hogan,Republican,168267,,,,,,,,,,,,
176,Nevada,Nye County,-36.71,Stay at home,4/1/2020,,Steve Sisolak,Democratic,45186,,,,,,,,,,,,
177,Mississippi,Madison County,-36.59,Shelter in place,4/3/2020,,Tate Reeves,Republican,105648,,,,,,,,,,,,
178,Oregon,Multnomah County,-36.57,Stay at home,3/23/2020,OR,Kate Brown,Democratic,809072,Yes,,,3/23/2020,,https://www.kdrv.com/content/news/Governor-Brown-extends-restaurant-dine-in-ban-indefinitely-to-match-stay-at-home-order-569450591.html,Yes,3/23/2020,https://www.kptv.com/news/gov-kate-brown-s-executive-order-closes-various-business-prohibits/article_23b648dc-6d2f-11ea-befa-37a5dd3ed382.html,Yes,3/16/2020,https://www.kgw.com/article/news/health/coronavirus/portland-area-schools-closed-coronavirus/283-57372367-c7af-4a6b-afcf-2103552db5e0
179,Mississippi,Harrison County,-36.53,Shelter in place,4/3/2020,MS,Tate Reeves,Republican,206284,Yes,shelter in place,,4/3/2020,4/27/2020,https://www.sos.ms.gov/Education-Publications/ExecutiveOrders/1466.pdf,,,,,,
179,Pennsylvania,Union County,-36.53,Stay at home,4/1/2020,,Tom Wolf,Democratic,45017,,,,,,,,,,,,
180,Illinois,Sangamon County,-36.5,Stay at home,3/21/2020,,J.B. Pritzker,Democratic,195639,,,,,,,,,,,,
180,Maine,York County,-36.5,Stay at home,4/2/2020,ME,Janet T. Mills,Democratic,205869,Yes,Stay healthy at home,,3/31/2020,4/30/2020,https://www.maine.gov/covid19/timeline,3/24/2020,,https://www.maine.gov/covid19/timeline,,,https://www.maine.gov/covid19/timeline
181,Georgia,Paulding County,-36.44,Shelter in place,4/3/2020,,Brian Kemp,Republican,164053,,,,,,,,,,,,
182,Virginia,Hanover County,-36.43,Stay at home,3/30/2020,,Ralph Northam,Democratic,106886,,,,,,,,,,,,
